18,Johan Cruyff,94,CF,Icon,Netherlands,FUT 22 ICONS,Icons,4.14M,5,5,91,92,91,94,42,73,Lean,71kg,"180cm|5'11""",H\L,518,483,2339
19,Lev Yashin,94,GK,Icon,Russia,FUT 22 ICONS,Icons,688K,1,3,95,89,75,96,60,95,High & Average,82kg,"189cm|6'2""",M\M,339,510,1320
20,Mané Garrincha,94,RW,Icon,Brazil,FUT 22 ICONS,Icons,1.68M,5,4,90,87,94,96,41,68,Short & Lean-,72kg,"169cm|5'7""",M\L,199,476,2301
21,Paolo Maldini,94,CB,Icon,Italy,FUT 22 ICONS,Icons,2M,2,4,86,56,75,69,96,83,Average,83kg,"186cm|6'1""",M\H,424,465,2140
22,Ronaldinho,94,LW,Icon,Brazil,FUT 22 ICONS,Icons,4.33M,5,4,92,90,91,95,37,81,Ronaldinho,78kg,"180cm|5'11""",H\L,712,486,2328
23,Ronaldo,94,ST,Icon,Brazil,FUT 22 ICONS,Icons,5.48M,5,5,93,93,80,93,46,80,R9,82kg,"183cm|6'0""",M\L,1964,485,2321
24,Zinedine Zidane,94,CAM,Icon,France,FUT 22 ICONS,Icons,1.79M,5,5,82,90,93,92,72,83,High & Average,82kg,"185cm|6'1""",M\M,604,512,2474
25,Lionel Messi,94,RW,IF,Argentina,Paris SG,Ligue 1,938K,4,4,86,93,92,96,35,68,Messi,72kg,"170cm|5'7""",M\L,-390,470,2298
26,João Cancelo,94,LB,TOTY,Portugal,Manchester City,Premier League,898K,4,5,95,85,91,93,90,87,Unique,74kg,"182cm|6'0""",H\M,6370,541,2566
27,Mohamed Salah,94,RW,TOTY Honourable Ment,Egypt,Liverpool,Premier League,1.03M,4,3,95,93,90,95,51,84,Salah,71kg,"175cm|5'9""",H\M,1302,508,2450
28,Carlos Alberto Torres,93,RB,Icon,Brazil,FUT 22 ICONS,Icons,593K,3,4,90,66,81,86,90,87,Average,76kg,"180cm|5'11""",H\M,122,500,2324
29,Éric Cantona,93,CF,Icon,France,FUT 22 ICONS,Icons,2.17M,5,4,89,93,90,93,53,92,High & Average,89kg,"188cm|6'2""",H\M,324,510,2476
30,Eusébio,93,CF,Icon,Portugal,FUT 22 ICONS,Icons,3.96M,4,5,94,94,86,93,45,79,Average,76kg,"175cm|5'9""",H\M,333,491,2398
31,Franco Baresi,93,CB,Icon,Italy,FUT 22 ICONS,Icons,207K,2,3,70,49,76,72,95,82,Average,70kg,"176cm|5'9""",M\H,14,444,2131
32,George Best,93,RW,Icon,Northern Ireland,FUT 22 ICONS,Icons,1.38M,4,4,93,91,84,94,58,71,Lean,65kg,"175cm|5'9""",M\M,280,491,2370
33,Lothar Matthäus,93,CM,Icon,Germany,FUT 22 ICONS,Icons,2.24M,3,4,89,89,90,82,90,85,Average,71kg,"174cm|5'9""",H\H,274,525,2544
34,Marco van Basten,93,ST,Icon,Netherlands,FUT 22 ICONS,Icons,236K,3,4,83,94,76,89,39,75,High & Average+,78kg,"188cm|6'2""",M\M,151,456,2231
35,Roberto Baggio,93,CAM,Icon,Italy,FUT 22 ICONS,Icons,510K,5,4,86,84,92,92,40,61,Unique,73kg,"174cm|5'9""",M\L,198,455,2217
36,Ruud Gullit,93,CF,Icon,Netherlands,FUT 22 ICONS,Icons,4.27M,4,5,86,91,91,89,82,90,Unique,88kg,"191cm|6'3""",H\M,506,529,2566
37,Thierry Henry,93,ST,Icon,France,FUT 22 ICONS,Icons,1.63M,4,4,94,91,83,90,53,80,High & Average,83kg,"188cm|6'2""",M\M,297,491,2332
38,Xavier Hernández,93,CM,Icon,Spain,FUT 22 ICONS,Icons,651K,4,3,81,80,95,93,72,72,Short & Lean-,67kg,"170cm|5'7""",H\H,536,493,2391
39,Marcos Cafú,93,RWB,Icon,Brazil,FUT 22 ICONS,Icons,930K,4,3,92,58,85,88,91,86,No Data,No Data,"176cm|5'9""",H\M,424,500,2365
40,Lionel Messi,93,RW,Rare,Argentina,Paris SG,Ligue 1,291K,4,4,85,92,91,95,34,65,Messi,72kg,"170cm|5'7""",M\L,9402,462,2261
41,Kevin De Bruyne,93,CAM,Signature Signings,Belgium,Manchester City,Premier League,637K,4,5,80,88,95,91,67,82,Unique,70kg,"181cm|5'11""",H\H,1752,503,2437
42,Robert Lewandowski,93,ST,TOTGS,Poland,FC Bayern,Bundesliga,117K,4,4,80,94,80,88,45,83,Unique,81kg,"185cm|6'1""",H\M,2066,470,2292
43,Neymar Jr,93,ST,Winter Wildcards,Brazil,Paris SG,Ligue 1,3.8M,5,5,93,87,88,96,39,66,Neymar,68kg,"175cm|5'9""",H\M,2792,469,2297
44,Robert Lewandowski,93,ST,IF,Poland,FC Bayern,Bundesliga,96K,4,4,80,93,81,87,45,83,Unique,81kg,"185cm|6'1""",H\M,648,469,2286
45,Kylian Mbappé,93,ST,Headliners,France,Paris SG,Ligue 1,4.59M,5,4,99,90,84,94,39,80,Unique,73kg,"182cm|6'0""",H\L,-214,486,2300
46,Mohamed Salah,93,RW,Headliners,Egypt,Liverpool,Premier League,1.16M,4,3,94,92,88,94,50,82,Salah,71kg,"175cm|5'9""",H\M,1342,500,2396
47,Achraf Hakimi,93,RB,TOTY,Morocco,Paris SG,Ligue 1,675K,3,4,99,80,88,91,90,90,Lean,73kg,"181cm|5'11""",H\M,-2447,538,2500
48,Harry Kane,93,ST,Flashback SBC,England,Spurs,Premier League,515.3K,3,5,88,94,87,88,51,86,Unique,89kg,"188cm|6'2""",H\H,-3415,494,2398
49,Jude Bellingham,93,CM,FUT Future Stars,England,Dortmund,Bundesliga,1.77M,4,4,88,85,88,93,88,91,High & Average+,75kg,"186cm|6'1""",H\H,2496,533,2556
50,Alessandro Del Piero,92,CF,Icon,Italy,FUT 22 ICONS,Icons,370K,4,5,83,92,89,92,43,67,Unique,74kg,"174cm|5'9""",M\M,163,466,2265
51,Alessandro Nesta,92,CB,Icon,Italy,FUT 22 ICONS,Icons,230K,2,3,72,42,65,67,94,86,Unique,79kg,"187cm|6'2""",M\H,38,426,1939
52,Andrea Pirlo,92,CM,Icon,Italy,FUT 22 ICONS,Icons,338K,5,4,73,80,95,91,71,67,Lean,67kg,"177cm|5'10""",M\M,120,477,2347
53,Bobby Moore,92,CB,Icon,England,FUT 22 ICONS,Icons,146K,2,3,68,64,83,78,93,85,Average,72kg,"178cm|5'10""",M\M,-28,471,2318
54,Carles Puyol Saforcada,92,CB,Icon,Spain,FUT 22 ICONS,Icons,234K,2,3,70,45,68,58,94,90,Stocky,80kg,"178cm|5'10""",M\H,40,425,2016
55,David Beckham,92,RM,Icon,England,FUT 22 ICONS,Icons,397K,3,3,80,87,95,88,69,82,Average,74kg,"182cm|6'0""",H\H,135,501,2464
56,Dennis Bergkamp,92,CF,Icon,Netherlands,FUT 22 ICONS,Icons,270K,4,4,84,91,86,90,37,78,Average,78kg,"183cm|6'0""",M\M,115,466,2272
57,Emilio Butragueño,92,ST,Icon,Spain,FUT 22 ICONS,Icons,1.34M,3,5,94,90,80,92,41,68,Lean,68kg,"168cm|5'6""",M\L,393,465,2245
58,Fabio Cannavaro,92,CB,Icon,Italy,FUT 22 ICONS,Icons,600K,2,3,80,43,63,68,95,85,Average,74kg,"176cm|5'9""",L\H,176,434,2065
59,Ferenc Puskás,92,ST,Icon,Hungary,FUT 22 ICONS,Icons,1.2M,4,3,89,95,90,91,47,77,Stocky,75kg,"172cm|5'8""",H\M,1148,489,2373
60,Gary Lineker,92,ST,Icon,England,FUT 22 ICONS,Icons,202K,3,4,88,91,73,86,36,76,Average,74kg,"177cm|5'10""",H\L,-3,450,2161
61,Hristo Stoichkov,92,ST,Icon,Bulgaria,FUT 22 ICONS,Icons,795K,4,3,92,93,86,92,50,86,Average,73kg,"178cm|5'10""",M\M,267,499,2407
62,Hugo Sánchez,92,ST,Icon,Mexico,FUT 22 ICONS,Icons,620K,3,4,92,93,81,91,44,75,Average,73kg,"176cm|5'9""",H\M,152,476,2312
63,Javier Zanetti,92,RB,Icon,Argentina,FUT 22 ICONS,Icons,345K,2,4,86,63,88,85,90,81,Average,74kg,"178cm|5'10""",H\H,121,493,2312
64,Kenny Dalglish,92,ST,Icon,Scotland,FUT 22 ICONS,Icons,1.37M,4,5,90,92,77,90,41,73,Average,73kg,"173cm|5'8""",H\M,478,463,2271
65,Luís Figo,92,RW,Icon,Portugal,FUT 22 ICONS,Icons,650K,4,4,92,88,89,92,41,80,Average,75kg,"180cm|5'11""",H\L,402,482,2283
66,Garrincha,92,RW,Icon,Brazil,FUT 22 ICONS,Icons,1.17M,5,4,90,86,92,94,41,67,Short & Lean-,71kg,"169cm|5'7""",M\L,458,470,2275
67,Paolo Maldini,92,CB,Icon,Italy,FUT 22 ICONS,Icons,1.13M,2,4,82,56,74,68,95,81,Average,83kg,"186cm|6'1""",M\H,878,456,2115
68,Peter Schmeichel,92,GK,Icon,Denmark,FUT 22 ICONS,Icons,339K,1,3,92,87,88,94,49,90,High & Stocky,92kg,"193cm|6'4""",M\M,82,500,1300
69,Raúl González Blanco,92,CF,Icon,Spain,FUT 22 ICONS,Icons,513K,4,4,88,92,82,90,47,75,Lean,68kg,"180cm|5'11""",H\M,213,474,2297
70,Rivaldo,92,LW,Icon,Brazil,FUT 22 ICONS,Icons,379K,4,2,87,91,88,92,44,78,High & Average+,75kg,"186cm|6'1""",M\L,100,480,2335
71,Ruud van Nistelrooy,92,ST,Icon,Netherlands,FUT 22 ICONS,Icons,170K,3,3,86,91,74,85,37,82,High & Average,80kg,"188cm|6'2""",H\L,71,455,2178
72,Ryan Giggs,92,LM,Icon,Wales,FUT 22 ICONS,Icons,230K,3,2,90,80,90,91,44,67,Lean,71kg,"179cm|5'10""",H\M,-40,462,2220
73,Samuel Eto'o,92,ST,Icon,Cameroon,FUT 22 ICONS,Icons,2.4M,4,4,95,93,81,90,47,83,Lean,75kg,"179cm|5'10""",H\L,334,489,2358
74,Iker Casillas,92,GK,Icon,Spain,FUT 22 ICONS,Icons,415K,1,3,93,89,85,95,60,91,No Data,No Data,"182cm|6'0""",M\M,700,513,1355
75,Robert Lewandowski,92,ST,Rare,Poland,FC Bayern,Bundesliga,71K,4,4,78,92,79,86,44,82,Unique,81kg,"185cm|6'1""",H\M,2767,461,2249
76,Cristiano Ronaldo,92,ST,PL POTM SBC,Portugal,Manchester Utd,Premier League,2.59M,5,4,88,94,84,89,35,77,CR7,83kg,"187cm|6'2""",H\L,-10256,467,2289
77,Neymar Jr,92,LW,IF,Brazil,Paris SG,Ligue 1,1.4M,5,5,92,85,87,95,38,65,Neymar,68kg,"175cm|5'9""",H\M,5266,462,2258
78,Mohamed Salah,92,RW,PL POTM SBC,Egypt,Liverpool,Premier League,855.25K,4,3,93,91,86,93,48,81,Salah,71kg,"175cm|5'9""",H\M,6790,492,2355
79,ter Stegen,92,GK,NUMBERSUP,Germany,FC Barcelona,LaLiga Santander,140K,1,4,90,94,90,92,45,90,Unique,85kg,"187cm|6'2""",M\M,1320,501,1079
80,Kylian Mbappé,92,ST,IF,France,Paris SG,Ligue 1,2.19M,5,4,98,89,82,93,37,79,Unique,73kg,"182cm|6'0""",H\L,2674,478,2261
81,Cristiano Ronaldo,92,ST,TOTGS,Portugal,Manchester Utd,Premier League,1.58M,5,4,88,94,83,90,35,78,CR7,83kg,"187cm|6'2""",H\L,2399,468,2293
82,Mohamed Salah,92,RW,TOTGS,Egypt,Liverpool,Premier League,700K,4,3,93,92,85,93,49,80,Salah,71kg,"175cm|5'9""",H\M,1096,492,2357
83,Kevin De Bruyne,92,CAM,IF,Belgium,Manchester City,Premier League,193K,4,5,78,87,94,89,65,80,Unique,70kg,"181cm|5'11""",H\H,1123,493,2372
84,N'Golo Kanté,92,CM,SIF,France,Chelsea,Premier League,804K,2,3,80,68,79,85,89,86,Unique,70kg,"168cm|5'6""",M\H,2463,487,2287
85,Joshua Kimmich,92,CDM,Headliners,Germany,FC Bayern,Bundesliga,208K,3,4,76,78,89,87,86,83,Lean,75kg,"177cm|5'10""",H\M,1233,499,2416
86,Raphaël Varane,92,CB,Flashback SBC,France,Manchester Utd,Premier League,1.11M,2,3,88,54,72,76,93,90,Unique,81kg,"191cm|6'3""",M\H,1702,473,2172
87,Bruno Fernandes,92,CAM,TOTY Honourable Ment,Portugal,Manchester Utd,Premier League,580K,4,3,80,90,94,91,75,82,Unique,69kg,"179cm|5'10""",H\H,898,512,2520
88,Erling Haaland,92,ST,TOTY Honourable Ment,Norway,Dortmund,Bundesliga,510K,3,3,94,95,80,87,47,93,Unique,94kg,"194cm|6'4""",H\H,1110,496,2360
89,Karim Benzema,92,CF,TOTY Honourable Ment,France,Real Madrid,LaLiga Santander,70K,4,4,81,90,85,91,42,82,Average,81kg,"185cm|6'1""",M\M,574,471,2302
90,Dušan Vlahovic,92,ST,FUT Future Stars,Serbia,Piemonte Calcio,Serie A TIM,655K,4,4,90,92,73,90,40,90,High & Average,75kg,"190cm|6'3""",H\M,1751,475,2273
91,Ferrán Torres,92,ST,FUT Future Stars,Spain,FC Barcelona,LaLiga Santander,1.55M,4,4,93,91,85,93,43,84,Lean,77kg,"184cm|6'0""",H\L,3451,489,2346
92,Alan Shearer,91,ST,Icon,England,FUT 22 ICONS,Icons,112K,2,3,81,93,77,78,52,85,Average,78kg,"182cm|6'0""",H\M,-25,466,2282
93,Andriy Shevchenko,91,ST,Icon,Ukraine,FUT 22 ICONS,Icons,256K,3,4,88,92,72,87,34,75,Average,72kg,"183cm|6'0""",H\H,137,448,2185
94,Bastian Schweinsteiger,91,CM,Icon,Germany,FUT 22 ICONS,Icons,462K,3,3,76,86,89,86,86,86,Average,79kg,"183cm|6'0""",H\H,252,509,2479
95,Clarence Seedorf,91,CAM,Icon,Netherlands,FUT 22 ICONS,Icons,360K,4,4,80,87,90,88,68,82,Stocky,78kg,"176cm|5'9""",M\M,128,495,2392
96,David Trezeguet,91,ST,Icon,France,FUT 22 ICONS,Icons,142K,4,4,81,92,70,82,45,80,High & Average+,75kg,"187cm|6'2""",M\L,-24,450,2122
97,Didier Drogba,91,ST,Icon,Côte d'Ivoire,FUT 22 ICONS,Icons,626K,4,4,90,92,77,82,47,90,High & Average,88kg,"189cm|6'2""",H\H,270,478,2283
98,Diego Maradona,91,CAM,Icon,Argentina,FUT 22 ICONS,Icons,1.74M,5,3,93,87,87,94,38,76,Base Maradona,68kg,"165cm|5'5""",H\M,967,475,2306
99,Pelé,91,CF,Icon,Brazil,FUT 22 ICONS,Icons,3M,5,4,94,89,88,93,53,73,Unique,68kg,"172cm|5'8""",H\M,632,490,2383
100,Edwin van der Sar,91,GK,Icon,Netherlands,FUT 22 ICONS,Icons,505K,1,3,85,90,81,89,40,95,High & Average+,83kg,"197cm|6'6""",M\M,115,480,917
101,Eusébio,91,CF,Icon,Portugal,FUT 22 ICONS,Icons,2.31M,4,5,93,93,88,90,42,74,Average,76kg,"175cm|5'9""",H\M,1037,480,2345
102,Fernando Hierro Ruiz,91,CB,Icon,Spain,FUT 22 ICONS,Icons,200K,2,3,73,68,76,70,93,87,Average,84kg,"187cm|6'2""",M\H,32,467,2292
103,Fernando Torres,91,ST,Icon,Spain,FUT 22 ICONS,Icons,865K,4,4,93,90,79,88,45,78,High & Average,78kg,"186cm|6'1""",H\M,643,473,2264
104,Franco Baresi,91,CB,Icon,Italy,FUT 22 ICONS,Icons,116K,2,3,69,48,74,70,94,80,Average,71kg,"176cm|5'9""",M\H,-18,435,2099
105,Gheorghe Hagi,91,CAM,Icon,Romania,FUT 22 ICONS,Icons,276K,4,4,83,89,90,90,43,65,Average,68kg,"172cm|5'8""",M\L,1264,460,2269
106,Ian Rush,91,ST,Icon,Wales,FUT 22 ICONS,Icons,145K,3,4,86,92,72,86,45,81,Lean,79kg,"180cm|5'11""",H\M,80,462,2226
107,Johan Cruyff,91,CF,Icon,Netherlands,FUT 22 ICONS,Icons,2.89M,5,5,91,89,88,93,41,72,Lean,70kg,"180cm|5'11""",H\L,1229,474,2289
108,Riquelme,91,CAM,Icon,Argentina,FUT 22 ICONS,Icons,170K,5,4,70,87,93,93,32,69,Average,79kg,"183cm|6'0""",M\L,67,444,2194
109,Kaká,91,CAM,Icon,Brazil,FUT 22 ICONS,Icons,1.16M,5,4,91,86,88,92,44,73,Unique,78kg,"186cm|6'1""",H\M,1013,474,2264
110,Laurent Blanc,91,CB,Icon,France,FUT 22 ICONS,Icons,398K,2,3,79,69,70,78,92,86,High & Average,82kg,"192cm|6'4""",M\H,62,474,2258
111,Lev Yashin,91,GK,Icon,Russia,FUT 22 ICONS,Icons,315K,1,3,93,85,73,93,62,92,High & Average,82kg,"189cm|6'2""",M\M,209,498,1295
112,Lothar Matthäus,91,CDM,Icon,Germany,FUT 22 ICONS,Icons,1.36M,3,4,87,84,86,77,89,82,Average,70kg,"174cm|5'9""",H\H,535,505,2448
113,Marcel Desailly,91,CB,Icon,France,FUT 22 ICONS,Icons,790K,2,3,83,52,66,67,90,90,High & Average+,81kg,"185cm|6'1""",M\H,135,448,2081
114,Marco van Basten,91,ST,Icon,Netherlands,FUT 22 ICONS,Icons,104K,3,4,79,92,75,87,40,70,High & Average+,80kg,"188cm|6'2""",M\L,114,443,2171
115,Michael Ballack,91,CM,Icon,Germany,FUT 22 ICONS,Icons,580K,4,4,81,90,88,83,81,86,High & Average,85kg,"188cm|6'2""",M\H,152,509,2439
116,Michael Laudrup,91,CAM,Icon,Denmark,FUT 22 ICONS,Icons,150K,4,4,85,79,90,92,38,64,Average,78kg,"183cm|6'0""",M\M,61,448,2164
117,Michael Owen,91,ST,Icon,England,FUT 22 ICONS,Icons,254K,3,4,90,89,70,88,34,67,Average,70kg,"173cm|5'8""",M\M,72,438,2129
118,Miroslav Klose,91,ST,Icon,Germany,FUT 22 ICONS,Icons,160K,3,4,88,88,76,82,41,81,Lean,74kg,"184cm|6'0""",H\M,161,456,2206
119,Patrick Kluivert,91,ST,Icon,Netherlands,FUT 22 ICONS,Icons,162K,4,4,86,88,80,83,41,82,Average,81kg,"188cm|6'2""",H\L,29,460,2227
